params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,params.random_seed,params.ncores,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
252336560693540533935881068298825202077_eps3_s7,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.5874533564540325,0.5494549625335152,0.4460385686255509,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,124.08910849653185,126.51937809474767,0.19880473576486107,30.143513225018978,115586.02553246022,0.0,232645.8
252336560693540533935881068298825202077_eps3_s8,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.5874533564540325,0.5494549625335152,0.4460334416207264,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.76285620965064,119.46760060936212,0.20059474967420102,30.1456614471972,116934.11899569743,0.0,232645.8
252336560693540533935881068298825202077_eps3_s9,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.5874533564540325,0.5494549625335152,0.4460334416207264,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.28513037860394,127.48841979429126,0.20039657689630985,30.17930049300194,118298.85753007271,0.0,232645.8
252336560693540533935881068298825202077_eps4_s0,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.45343545414937053,0.4132475374181867,0.33692578349793656,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,116.49262217134238,123.01330495849251,0.195984236523509,29.795853807777167,121016.17796800732,0.0,232645.8
252336560693540533935881068298825202077_eps4_s1,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.7404515277405587,0.5930240203525449,0.32626255783288566,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,127.12989743128419,810.5524209883064,0.20586532913148403,36.409882525354625,124418.954412622,0.0,232645.8
252336560693540533935881068298825202077_eps4_s10,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.6396457926781662,0.5579752480057613,0.40658407144627995,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,125.5073947686702,119.47073728777468,0.20402565412223334,30.338101277127862,137885.2663856171,0.0,232645.8
252336560693540533935881068298825202077_eps4_s2,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.6042985758184569,0.566209168664497,0.45863613305317885,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,120.22615344412625,124.3458850711584,0.19713224954903122,30.045778138563037,127268.0629487425,0.0,232645.8
252336560693540533935881068298825202077_eps4_s3,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.6033990461569304,0.5641582799958911,0.4579145618210155,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.53503716923296,112.47667124718427,0.20306448824703688,30.05001115389168,128581.70470672772,0.0,232645.8
252336560693540533935881068298825202077_eps4_s4,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.603721396752902,0.5642497903229368,0.45806852024736405,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.7010074980557,112.90441824793815,0.20112990476191045,30.169823759049176,129888.2232597161,0.0,232645.8
252336560693540533935881068298825202077_eps4_s5,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.6032477481228787,0.5636487596236147,0.456893683182846,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.7439949259162,114.46379404775799,0.1974489532411098,29.93628257587552,131197.73403029703,0.0,232645.8
252336560693540533935881068298825202077_eps4_s6,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.603163778090973,0.5632406033300532,0.45650452103647926,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.25019590295851,113.26936516799033,0.20121886916458603,30.21144149117172,132508.772221851,0.0,232645.8
252336560693540533935881068298825202077_eps4_s7,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.6031407763763023,0.563402769377596,0.4559149004722993,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,116.55429606959224,121.8931242249906,0.20771383568644525,30.19805250763893,133841.35522962213,0.0,232645.8
252336560693540533935881068298825202077_eps4_s8,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.6031407763763023,0.563402769377596,0.4559179427998868,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,115.92760886475443,116.7904582902789,0.19906932078301903,30.07283205576241,135173.22489726954,0.0,232645.8
252336560693540533935881068298825202077_eps4_s9,BPI2012_C,1.0,11.0,42.0,12.0,1.0,97.4,0.6031407763763023,0.563402769377596,0.4559179427998868,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.0275223363191,123.55472751818597,0.19910051897168154,30.296846191212534,136519.592033159,0.0,232645.8
