params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,params.random_seed,params.ncores,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.nap_eval_duration,metrics.nap_pred_duration,metrics.nap_pred_convert_duration,metrics.nap_n_events_per_second,metrics.rtp_duration,metrics.rtp_eval_duration,metrics.rtp_pred_duration,metrics.rtp_pred_convert_duration,metrics.rtp_n_traces_per_second,metrics.total_run_time,metrics.total_fit_duration,metrics.fit_duration_per_fold,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
322516926209442139593358595608268604194_eps2_s0,Helpdesk,0.025,11.0,,,16.0,1.0,0.8543534707703563,0.4304619886579622,0.8779725815635274,0.0038646925288834356,0.15301946000545286,,0.8077676514047198,0.07606366099789738,0.7921367212024052,0.8069045394076966,5229.549540674196,0.8877214255917352,0.40920643460121936,0.7756034133955836,0.8872214903996791,5359.663577618279,213009.2541368252,12.829718007997144,2.565943601599429,0.0,764.625
121053278473147205235238571543252250060_eps3_s0,Helpdesk,0.025,15.0,,,16.0,1.0,0.858023650832559,0.4321589754865928,0.908539755292081,0.0038646925288834356,0.16300726399640553,,0.8631496236019303,0.07680864660069346,0.8465490881993901,0.8622556956019253,4896.242174500119,0.9541711815982126,0.43555338559672235,0.8373843131936155,0.9534372250025627,4947.514450931356,212894.0740269096,12.850512837001588,2.5701025674003177,0.0,764.625
137032741307003031281512400095277880351_eps3_s0,Helpdesk,0.025,15.0,,,16.0,1.0,0.831993688461702,0.383303418659614,0.8742588446589711,0.04510883073213666,0.1399702350026928,,0.36453930059215056,0.06982041359879076,0.34821001659729517,0.36367834120173936,11910.083534194131,0.4468200890056323,0.3625526235904545,0.33361162160290403,0.4462492972030304,12454.099196534731,213236.66092889482,12.404166335996706,2.4808332671993414,0.0,114.4375
170143405921464198453927087275686114231_eps3_s0,Helpdesk,0.025,15.0,,,16.0,1.0,0.8538676858998386,0.41648829689275535,0.9036297991647058,0.008744209422500208,0.13654581102309749,,0.48795285299420355,0.08219723820220678,0.47251091260113753,0.48704466560157017,8788.508945837406,0.5799122535972856,0.3948465934023261,0.46447335100383497,0.5792873090016656,8941.442396178934,213134.090797609,12.594882851990405,2.518976570398081,0.0,360.675
322516926209442139593358595608268604194_eps3_s0,Helpdesk,0.025,15.0,,,16.0,1.0,0.858023650832559,0.4321589754865928,0.908539755292081,0.0038646925288834356,0.15301946000545286,,0.8784353635972366,0.06978046080330387,0.8629795137967449,0.8775506718026008,4799.671956526116,0.9578692167880944,0.41700537920114583,0.8374545746017248,0.9572020096005872,4956.762474869606,213021.50564397342,12.829718007997144,2.565943601599429,0.0,764.625
121053278473147205235238571543252250060_eps4_s0,Helpdesk,0.025,21.0,,,16.0,1.0,0.8580236857295491,0.4321675118336975,0.9085598656518729,0.0038646925288834356,0.16300726399640553,,0.9427578919916414,0.07571449300739914,0.9274102021998261,0.941815848601982,4474.194274306879,1.02113254040014,0.4146857722022105,0.9007651489868295,1.0204839032085147,4602.5664624836745,212907.02470092342,12.850512837001588,2.5701025674003177,0.0,764.625
137032741307003031281512400095277880351_eps4_s0,Helpdesk,0.025,21.0,,,16.0,1.0,0.831993688461702,0.383303418659614,0.8742588446589711,0.04510883073213666,0.1399702350026928,,0.35708232820034025,0.06465921840863302,0.3431343506032135,0.35599801540374754,12135.692391248109,0.4436618908017408,0.3736908252059948,0.32433896080474367,0.4429061400063802,12795.334558259841,213243.9289225472,12.404166335996706,2.4808332671993414,0.0,114.4375
170143405921464198453927087275686114231_eps4_s0,Helpdesk,0.025,21.0,,,16.0,1.0,0.8538676858998386,0.41648829689275535,0.903623320496337,0.008744209422500208,0.13654581102309749,,0.481214433797868,0.08156843059696257,0.4655418806010857,0.4805004654044751,8914.630872658976,0.6029124339984264,0.3854349612025544,0.4795735310006421,0.6022131089994218,8647.45559601166,213142.79252059362,12.594882851990405,2.518976570398081,0.0,360.675
322516926209442139593358595608268604194_eps4_s0,Helpdesk,0.025,21.0,,,16.0,1.0,0.8580236857295491,0.4321675118336975,0.9085598656518729,0.0038646925288834356,0.15301946000545286,,0.9460227919917088,0.07048933461192064,0.9302398475934751,0.9449746919970494,4453.401844751592,1.0662825872015673,0.42624264779733495,0.9472137686097994,1.0655764503986576,4374.549563969653,213034.69400276738,12.829718007997144,2.565943601599429,0.0,764.625
17650431200837232124795873198387486985_eps0_s0,Helpdesk,0.1,3.0,,,8.0,2.0,0.862032629300684,0.46247053960510776,0.9115629425268945,0.002270986059926994,0.1422068749961909,,0.7659092213958502,0.06612393700052052,0.7501037495967466,0.7651114994019735,5521.962982600489,1.2515258050116245,0.3994197355932556,1.1407716876012273,1.2509590623958502,3631.382475180372,213447.4888627946,13.070847358001629,2.614169471600326,0.0,1472.025
