params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
200934189435493509245876840523779924304_2,BPI2012_C,0.2,7.0,5.0,19.8,0.5931565108045225,0.5311601286983177,0.4396195305622321,0.9501480157843076,0.8987497690587318,0.8525990819230242,0.76566709212489,0.6142630176266514,0.5314282384745093,0.4888860094625601,3.3761921024480055e-05,2.1414295559807215,564.862785329984,115.72789201081032,124.26397264360567,0.07287251679808833,37.412291597790315,5812.797515270196,0.0,51690.68
200934189435493509245876840523779924304_3,BPI2012_C,0.2,11.0,5.0,19.8,0.6424028096782534,0.574819465388034,0.4640772335771608,0.9594951209966706,0.9175630683819517,0.8739340610744408,0.7913881219479051,0.6413647356770563,0.5548141037131676,0.5093106397215459,3.3761921024480055e-05,2.1414295559807215,564.862785329984,115.64488954599946,126.25426491860416,0.07243420999730006,37.759954254399055,7194.436812536395,0.0,51690.68
200934189435493509245876840523779924304_4,BPI2012_C,0.2,17.0,5.0,19.8,0.6778272312673513,0.5632477575787896,0.4805748267416444,0.9617598002791878,0.924817120662459,0.882237634389799,0.80518265029987,0.6668996812593655,0.5770735552490281,0.5307201515054749,3.3761921024480055e-05,2.1414295559807215,564.862785329984,115.23729617739446,130.85058462659944,0.0719519290025346,37.71186622279347,8616.680760965799,0.0,51690.68
200934189435493509245876840523779924304_5,BPI2012_C,0.2,21.0,5.0,19.8,0.6704078383555688,0.5751481269307388,0.47594383001818963,0.9602398049996788,0.9212359426116233,0.8787073921829306,0.801075923134355,0.6605086482256878,0.569813115314207,0.5235473635204203,3.3761921024480055e-05,2.1414295559807215,564.862785329984,117.33554343059659,126.3045002324041,0.0736265488085337,38.01701246759622,10038.624100011593,0.0,51690.68
31882839497307630496007576300860674457_0,BPI2012_C,0.5,3.0,2.0,49.2,0.7625533540573786,0.5844906420990068,0.1891125791509137,0.9817416919577442,0.9704297960022352,0.9642759621844365,0.955521363801569,0.9220790658154939,0.8821146341095781,0.8398875617270679,3.3761921024480055e-05,2.111741667991737,911.9630918059847,113.10256261120666,729.8148943977955,0.07766366119030862,49.06143177100457,3561.3664657041895,0.0,118247.1
31882839497307630496007576300860674457_1,BPI2012_C,0.5,5.0,2.0,49.2,0.514373231110149,0.46046192672609293,0.4082558446801274,0.9339819846104085,0.8798877129637939,0.8251953203657905,0.7275560003137772,0.5724618284942881,0.4904832074993354,0.44882279256883484,3.3761921024480055e-05,2.111741667991737,911.9630918059847,112.66679272339097,119.3561919673928,0.07650030640652403,33.70351179579738,6174.883346260595,0.0,118247.1
31882839497307630496007576300860674457_2,BPI2012_C,0.5,7.0,2.0,49.2,0.583484468089748,0.5206331301686176,0.43193384147357516,0.9508761880626496,0.9003503826920651,0.8542730672681422,0.7682196009850282,0.6156158883360229,0.5343422385575284,0.49050342225979254,3.3761921024480055e-05,2.111741667991737,911.9630918059847,111.01262247718986,134.11259590620176,0.07333505441201851,34.14530574300443,7543.675413126393,0.0,118247.1
31882839497307630496007576300860674457_3,BPI2012_C,0.5,11.0,2.0,49.2,0.6458137152205244,0.5746434117269713,0.458353657481263,0.9602357609440645,0.9165494767397581,0.8709573320835118,0.7855619600717086,0.6316148137555858,0.5448947810900626,0.5006475345501016,3.3761921024480055e-05,2.111741667991737,911.9630918059847,108.05859716979903,123.61437820920256,0.07305011579883285,33.887383813393534,8903.06759995339,0.0,118247.1
31882839497307630496007576300860674457_4,BPI2012_C,0.5,17.0,2.0,49.2,0.6747583584263073,0.5604838502015822,0.47835189119313115,0.9613668393366946,0.9232879493353074,0.8794885207022854,0.801125703417641,0.6623643271769855,0.572363835697273,0.5262904059735563,3.3761921024480055e-05,2.111741667991737,911.9630918059847,158.4440754926123,179.68643997080508,0.1259469199925661,45.43314408379374,10459.23121982239,0.0,118247.1
31882839497307630496007576300860674457_5,BPI2012_C,0.5,21.0,2.0,49.2,0.6672940569529405,0.5724006104090318,0.4739923773441497,0.960100212298391,0.9208030482243099,0.8779671687623415,0.7997334481143751,0.6584201608501121,0.5677469757496898,0.5220048196941273,3.3761921024480055e-05,2.111741667991737,911.9630918059847,215.32292341459544,257.6410814023984,0.19795299080433323,57.3848724200041,12907.091783951193,0.0,118247.1
