approach,params.dataset,training_duration_for_eval,inference_duration_for_eval,metrics.nap_accuracy,metrics.rtp_similarity
Ceci,Nasa,8676.386525318958,86.35720813693479,0.1798969753004887,0.027656661611512697
Ceci,Nasa,8676.386525318958,85.84698480600491,0.17662508207485225,0.027218580527772145
Ceci,Nasa,8676.386525318958,72.47739097708836,0.17800498099357714,0.031909577078410245
Ceci,Nasa,8676.386525318958,93.59324845997617,0.17363177642644587,0.024757233957583048
Ceci,Nasa,8676.386525318958,79.74992499104701,0.1788833024609685,0.02843131782475976
Ceci,Nasa,12227.649445155985,88.21112423506565,0.1798969753004887,0.027656661611512697
Ceci,Nasa,12227.649445155985,90.41478229500353,0.17662508207485225,0.027218580527772145
Ceci,Nasa,12227.649445155985,75.59460020798724,0.17800498099357714,0.031909577078410245
Ceci,Nasa,12227.649445155985,97.46240616997238,0.17363177642644587,0.024757233957583048
Ceci,Nasa,12227.649445155985,84.59145734494086,0.1788833024609685,0.02843131782475976
Ceci,Nasa,12822.068700147094,85.87071306502912,0.1798969753004887,0.027656661611512697
Ceci,Nasa,12822.068700147094,87.81821997498628,0.17662508207485225,0.027218580527772145
Ceci,Nasa,12822.068700147094,71.94951168296393,0.17800498099357714,0.031909577078410245
Ceci,Nasa,12822.068700147094,92.86866306199227,0.17363177642644587,0.024757233957583048
Ceci,Nasa,12822.068700147094,84.80573680705857,0.1788833024609685,0.02843131782475976
Ceci,Sepsis,222.79898569599027,109.14677693101112,0.2587841606246514,0.04537563886418689
Ceci,Sepsis,222.79898569599027,23.04260448605055,0.2544995263656457,0.0532522898523805
Ceci,Sepsis,222.79898569599027,33.8911101029953,0.25399934704538035,0.048633479531304695
Ceci,Sepsis,222.79898569599027,50.34211242099991,0.24077380952380953,0.029439439282492055
Ceci,Sepsis,222.79898569599027,18.87948178697843,0.25008161932745676,0.056079258777161946
Ceci,Sepsis,482.08488162897993,111.1099753989838,0.2763524818739543,0.056311881481609656
Ceci,Sepsis,482.08488162897993,22.965932864986826,0.25607830754657407,0.05892133476184524
Ceci,Sepsis,482.08488162897993,32.87132561899489,0.2602024159320927,0.04846082255955116
Ceci,Sepsis,482.08488162897993,49.90009412099607,0.26339285714285715,0.046975177716402056
Ceci,Sepsis,482.08488162897993,18.218188192986418,0.26477309826967027,0.06971269942019284
Ceci,Sepsis,768.8506649790215,109.01578185101971,0.2679866146123815,0.048216123618172665
Ceci,Sepsis,768.8506649790215,22.817992819997016,0.261761919797916,0.05498962137542072
Ceci,Sepsis,768.8506649790215,32.80636670900276,0.25857002938295787,0.04484459782143238
Ceci,Sepsis,768.8506649790215,49.601132715004496,0.2526785714285714,0.041040555279399246
Ceci,Sepsis,768.8506649790215,18.503128296986688,0.25497877897486126,0.057050044594089376
Ceci,EnvPermit,15.914028822036926,1.075176092039328,0.16395939086294417,0.33549380224536574
Ceci,EnvPermit,15.914028822036926,1.1021644370048307,0.31363636363636366,0.3368716321145009
Ceci,EnvPermit,15.914028822036926,1.2015539840213023,0.3060428849902534,0.3295808917143188
Ceci,EnvPermit,15.914028822036926,1.3243865219992585,0.3036597428288823,0.33209447054680385
Ceci,EnvPermit,15.914028822036926,1.811551618971862,0.31353799698037244,0.32524441968071927
Ceci,EnvPermit,16.231768754019868,1.0883995729964226,0.16395939086294417,0.3363313656971424
Ceci,EnvPermit,16.231768754019868,1.1051978399627842,0.31363636363636366,0.3369978947407635
Ceci,EnvPermit,16.231768754019868,1.232246909989044,0.3060428849902534,0.3294834258273793
Ceci,EnvPermit,16.231768754019868,1.2674120459705591,0.3036597428288823,0.33209447054680385
Ceci,EnvPermit,16.231768754019868,1.7076153150410391,0.3120281831907398,0.3253796819641689
Ceci,EnvPermit,16.885460903984495,1.079314959992189,0.16598984771573605,0.33765055834882246
Ceci,EnvPermit,16.885460903984495,1.0980308040161617,0.31616161616161614,0.3393968846397534
Ceci,EnvPermit,16.885460903984495,1.2380025219754316,0.3079922027290448,0.3313190333647412
Ceci,EnvPermit,16.885460903984495,1.2622274079476483,0.3066271018793274,0.33518821711236046
Ceci,EnvPermit,16.885460903984495,1.8023595809936523,0.3160543532964268,0.32965168072534734
Ceci,BPI2013_Incidents,133.61122893803986,198.1127188319806,0.45179806362378977,0.12391432030320143
Ceci,BPI2013_Incidents,133.61122893803986,116.16591875097947,0.43766560678325384,0.12965555673848622
Ceci,BPI2013_Incidents,133.61122893803986,179.95957709202776,0.452128764278297,0.12652611661123278
Ceci,BPI2013_Incidents,133.61122893803986,110.83443599700695,0.45070914553203384,0.13193737274633324
Ceci,BPI2013_Incidents,133.61122893803986,141.04447084700223,0.4406010965951398,0.1253459512080572
Ceci,BPI2013_Incidents,211.99968542403076,194.00874834600836,0.4492392807745505,0.12226877242710903
Ceci,BPI2013_Incidents,211.99968542403076,121.6346372999833,0.4336910439851616,0.12785138570645177
Ceci,BPI2013_Incidents,211.99968542403076,189.2400025629904,0.4493596400138456,0.125159804519141
Ceci,BPI2013_Incidents,211.99968542403076,114.83023694495205,0.4477747502270663,0.12991099628789204
Ceci,BPI2013_Incidents,211.99968542403076,142.36013142502634,0.43701347052054423,0.12542277683824551
Ceci,BPI2013_Incidents,332.0987403059844,200.1894454259891,0.45802213001383124,0.13219345101401478
Ceci,BPI2013_Incidents,332.0987403059844,124.75269006600138,0.44713831478537364,0.1364744469436829
Ceci,BPI2013_Incidents,332.0987403059844,185.20211789401947,0.4554517133956386,0.13232245142907526
Ceci,BPI2013_Incidents,332.0987403059844,113.47918241599109,0.4539928736114022,0.14005298837656718
Ceci,BPI2013_Incidents,332.0987403059844,142.993798726995,0.4436471942056454,0.13379024794647446
Ceci,BPI2013_Closed,5.563546225021128,2.586198257980868,0.5818062827225131,0.23797387454008734
Ceci,BPI2013_Closed,5.563546225021128,3.2026636610389687,0.5706422018348624,0.22486046617828234
Ceci,BPI2013_Closed,5.563546225021128,4.423920784960501,0.5399761336515513,0.19934963969171626
Ceci,BPI2013_Closed,5.563546225021128,5.356724756013136,0.5412186379928315,0.19869165832420507
Ceci,BPI2013_Closed,5.563546225021128,4.331139023997821,0.5581395348837209,0.210336585944691
Ceci,BPI2013_Closed,7.703967071021907,2.702058646013029,0.5863874345549738,0.2350050477417742
Ceci,BPI2013_Closed,7.703967071021907,3.2691089349682443,0.5675840978593272,0.2250563562502687
Ceci,BPI2013_Closed,7.703967071021907,4.2868818930001,0.5459427207637232,0.2126670079717916
Ceci,BPI2013_Closed,7.703967071021907,5.593841452035122,0.551373954599761,0.20217849143004935
Ceci,BPI2013_Closed,7.703967071021907,4.2487054750090465,0.5605875152998776,0.21146204234888263
Ceci,BPI2013_Closed,8.646725622995291,2.6630508830421604,0.5850785340314136,0.23424036759835581
Ceci,BPI2013_Closed,8.646725622995291,3.1655425269855186,0.5657492354740061,0.222957599879884
Ceci,BPI2013_Closed,8.646725622995291,4.376007812970784,0.5322195704057279,0.20390821035829576
Ceci,BPI2013_Closed,8.646725622995291,5.5633951560012065,0.543010752688172,0.1979157931711717
Ceci,BPI2013_Closed,8.646725622995291,4.392335731012281,0.5673194614443084,0.2087671374170574
Ceci,Helpdesk,37.07804387999931,6.893700479005929,0.40153256704980844,0.22720586742096047
